,university,major,course,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission
0,จุฬาลงกรณ์มหาวิทยาลัย,1. วิศวกรรมทั่วไป,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์,Bachelor of Engineering Program,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,322,38,380,0
1,จุฬาลงกรณ์มหาวิทยาลัย,2. วิศวกรรมคอมพิวเตอร์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,50,0,65,0
2,จุฬาลงกรณ์มหาวิทยาลัย,2. วิศวกรรมคอมพิวเตอร์,2. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,Bachelor of Engineering Program in Computer Engineering and Digital Technology,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,190,10,140,0
3,จุฬาลงกรณ์มหาวิทยาลัย,3. วิศวกรรมเคมี,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมีและกระบวนการ (หลักสูตรนานาชาติ) (นานาชาติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมีและกระบวนการ (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Chemical and Process Engineering (International Program),นานาชาติ,วิทยาเขตหลัก,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/,,40,10,0,0
4,จุฬาลงกรณ์มหาวิทยาลัย,4. วิศวกรรมนิวเคลียร์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี,Bachelor of Engineering Program in Nuclear and Radiological Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,10,0,25,0
5,จุฬาลงกรณ์มหาวิทยาลัย,5. วิศวกรรมไฟฟ้า,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า,Bachelor of Engineering Program in Electrical Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,10,0,0,0
6,จุฬาลงกรณ์มหาวิทยาลัย,6. วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคม,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสารสนเทศและการสื่อสาร (หลักสูตรนานาชาติ) (นานาชาติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสารสนเทศและการสื่อสาร (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Information and Communication Engineering (International Program),นานาชาติ,วิทยาเขตหลัก,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/,ร้อยละ 86.8 ต่อปีการศึกษา,87,21,0,0
7,จุฬาลงกรณ์มหาวิทยาลัย,7. วิศวกรรมยานยนต์,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการออกแบบและการผลิตยานยนต์ (หลักสูตรนานาชาติ) (นานาชาติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการออกแบบและการผลิตยานยนต์ (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Automotive Design and Manufacturing Engineering (International Program),นานาชาติ,วิทยาเขตหลัก,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/,ร้อยละ 86.8 ต่อปีการศึกษา,45,18,0,0
8,จุฬาลงกรณ์มหาวิทยาลัย,8. วิศวกรรมโยธา,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา,Bachelor of Engineering Program in Civil Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,0,0,10,0
9,จุฬาลงกรณ์มหาวิทยาลัย,9. วิศวกรรมวัสดุ,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ,Bachelor of Engineering Program in Metallurgical and Materials Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,0,0,35,0
